,Arremon_taciturnus,Attila_spadiceus,Automolus_infuscatus,Bucco_capensis,Cacicus_cela,Campephilus_rubricollis,Campylopterus_largipennis,Catharus_minimus,Celeus_elegans,Ceratopipra_erythrocephala,Cercomacroides_tyrannina,Certhiasomus_stictolaemus,Chloroceryle_aenea,Chloroceryle_americana,Chloroceryle_inda,Chrysolampis_mosquitus,Chrysuronia_versicolor,Coereba_flaveola,Corapipo_gutturalis,Corythopis_torquatus,Cyanoloxia_rothschildii,Dacnis_cayana,Deconychura_longicauda,Dendrocincla_fuliginosa,Dendrocincla_merula,Dendrocolaptes_certhia,Epinecrophylla_gutturalis,Florisuga_mellivora,Formicarius_analis,Formicarius_colma,Frederickena_viridis,Galbula_albirostris,Geotrygon_montana,Glaucidium_hardyi,Glaucis_hirsutus,Glyphorynchus_spirurus,Gymnopithys_rufigula,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylexetastes_perrotii,Hylophylax_naevius,Hypocnemis_cantator,Isleria_guttata,Laniocera_hypopyrra,Lepidothrix_serena,Leptotila_rufaxilla,Leptotila_verreauxi,Leucopternis_melanops,Lipaugus_vociferans,Lophotriccus_galeatus,Malacoptila_fusca,Manacus_manacus,Maschalethraupis_surinamus,Micrastur_gilvicollis,Micrastur_ruficollis,Microrhopias_quixensis,Mionectes_macconnelli,Mionectes_oleagineus,Momotus_momota,Monasa_atra,Myiarchus_ferox,Myiobius_barbatus,Myiornis_ecaudatus,Myrmoderus_ferrugineus,Myrmothera_campanisona,Myrmotherula_axillaris,Myrmotherula_longipennis,Myrmotherula_menetriesii,Onychorhynchus_coronatus,Pachyramphus_marginatus,Percnostola_rufifrons,Perissocephalus_tricolor,Phaethornis_bourcieri,Phaethornis_ruber,Phaethornis_superciliosus,Pheugopedius_coraya,Philydor_erythrocercum,Philydor_pyrrhodes,Pithys_albifrons,Platyrinchus_coronatus,Platyrinchus_saturatus,Pseudopipra_pipra,Pteroglossus_viridis,Ramphastos_vitellinus,Ramphocaenus_melanurus,Ramphocelus_carbo,Ramphotrigon_ruficauda,Rhynchocyclus_olivaceus,Rhytipterna_simplex,Saltator_grossus,Schiffornis_turdina,Sclerurus_caudacutus,Sclerurus_rufigularis,Selenidera_piperivora,Sporophila_angolensis,Synallaxis_rutilans,Tamatia_tamatia,Terenotriccus_erythrurus,Thalurania_furcata,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_murinus,Thraupis_episcopus,Tolmomyias_poliocephalus,Troglodytes_musculus,Trogon_rufus,Tunchiornis_ochraceiceps,Turdus_albicollis,Tyranneutes_virescens,Vireo_olivaceus,Willisornis_poecilinotus,Xenops_minutus,Xiphorhynchus_obsoletus,Xiphorhynchus_pardalotus
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
Neto,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
Palhal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pe_Torto,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Piquia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
Pontal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Porto_Seguro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,1,0,1,0,0,3,0,0,4
Relogio,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3
Sapupara,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,5
Torem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tristeza,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,9,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Tucumari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,2,0,5,0,0,0,0,5,0,2,1,9,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Xibe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
